タイトル,bookliststory
嘘喰い,遊ぶ金欲しさに闇金に手を出し、取立てに追われる青年・梶くんの前に現れた謎の男・斑目貘。自らギャンブラーと名乗り、借金返済を手伝うと豪語する貘は、闇カジノへと乗り込むが…!?
賭博堕天録カイジ ワン・ポーカー編,極悪社長との麻雀勝負を制し大金を獲得したカイジ！しかしその勝負の余韻も冷めやらぬ中、帝愛グループの会長である兵藤和尊の息子・和也からポーカー勝負を持ちかけられた!!苛烈、熾烈、強烈に揺さぶれ続ける！デスマッチ開幕!…
賭博堕天録カイジ 24億脱出編,『ワン・ポーカー』でついに和也に勝利したカイジはついに20億円の元へ。軍資金と合わせ24憶円を手に入れるカイジたち。しかしまだ完全に手に入れたわけではない。カイジは黒服たちから逃げ延びなければいけない、果たして無事…
賭博堕天録カイジ,トリップ確実っ…!脳内モルヒネ出まくりっ…!勝負熱に脳を灼かれた勝負ジャンキー・カイジ、死地をくぐりに、三度勝負の泥沼へっ…(物語上は第四章)!勝負の才能は人並みだけど、手遅れレベルの「負け」をゼロに戻す才能だけは…
LIAR GAME,ある日突然送られてきた小包。その中には「おめでとうございます。あなたは10万分の1の確率をくぐりぬけ、ライアーゲームにエントリーされました」という手紙と、現金1億円が同封されていた。それがライアーゲームのスタートだ…
賭博堕天録カイジ 和也編,裏カジノの社長・村岡との変則二人麻雀「17歩」勝負を制し、4億8000万円もの大勝を収めたカイジ。その勝負を観戦していた男・和也は、なんと帝愛グループの会長・兵藤和尊の息子。カイジは和也に勝負を挑まれると、すぐさま…
アカギ,ククク・・・狂気の沙汰ほど面白い・・・！麻雀漫画「天」に敵として味方として登場し、主役を喰うほどの絶大な人気を誇った福本作品最大のヒーロー・赤木しげるの若かりし頃を描いた作品。麻雀を知らない人が読んでも勝負漫画とし…
賭ケグルイ,名門・私立百花王学園。この学園には階級制度が存在する。生徒会を頂点とするこの学校は「ギャンブル」に支配されている。勝てば天国。負ければ地獄。ギャンブル強者は羨望、弱者は被虐のクルった学園。そんな学園に、一人の少女が…
キリンジゲート,日本中の猛者が集い大金の動く麻雀の代打ちの世界――。雇い主を裏切った代打ちと間違われ、ヤクザに追われる葉隠杏は、その麻雀打ち達の聖域に迷い込む。不ヅキな運命からトラブルが続き、警察にもヤクザにも追われる身の杏は、打…
中間管理録トネガワ,帝愛グループ会長・兵藤和尊（ひょうどう・かずたか）の命で、債務者たちによる「死のゲーム」の企画を任された幹部・利根川幸雄（とねがわ・ゆきお）!!　早速、企画会議を開く利根川を待っていたのは、受難…!!　煩悶…!!　…
ジャンケットバンク,カラス銀行中央支店、どこにでもある平凡な銀行。そこに勤務する新人銀行員・御手洗暉(ミタライアキラ)はある日特別業務部という聞き覚えのない部署の上司・宇佐美銭丸(ウサミゼニマル)に連れられ、銀行の地下へ足を踏み入れる…
天牌・麻雀飛龍伝説,麻雀を愛する思いは誰にも負けない！　天性の強運と感性を武器に、牌と共に生きる決意をする沖本瞬!!　かつての同級生たちが社会と折り合いをつけて生きていく中、彼はひたむきに卓上の戦いへと身を投じていく！　「俺は一体、ど…
賭ケグルイ双,百花王学園に夢子はいない。夢子が学園に転校してくる一年前。ごく普通の少女・早乙女芽亜里は編入試験に合格し百花王学園に入学する。しかし彼女を待ち受けるのは学園の狂った掟、賭博の洗礼だった。これは賭ケグルイ前史、もう一…
賭博破戒録カイジ,生き死にの博打、再びっ…!950万円もの借金を背負わされ、送り込まれた地下強制労働施設。一ヶ月9千円ほどの超低賃金で15年もの苛烈な重労働を強いられ、カイジは地上への帰還を誓うが…?!勝負のアツさ、爽快感は前作「賭…
咲-Saki-,時は21世紀…。麻雀の実力が人生を左右する時代に、二人の天才女子高生が舞い降りる。毎局プラスマイナスゼロで和了（アガ）る少女・宮永咲。全国中学生麻雀大会個人戦優勝者・原村和。互いの生き様が交わる時、熱き物語の幕が上…
賭博覇王伝 零 ギャン鬼編,ドリームキングダムで行われた命懸けの「王への試験」から数年後。ある伝説が跋扈した！不敗のギャンブラー伝説!!そのギャンブラーこそが「王への試験」で神がかり的頭脳を発揮した宇海零!!そして彼が今回挑むギャンブルとは……
凍牌～ミナゴロシ篇～,"サバイバル麻雀が終了し日本に生じた“力の空白地帯”。一方、数々の死闘を乗り越えKは平穏な生活を手に入れていた。だが、闇からの呼び声は少年に再び覚醒を促す…!! 伝説、再起動!!　“氷のK”最後の戦いが始まる。
  …"
バード BLACK MARKET,新章開演!! “鳥(バード)”×“蛇”宿命の物語！！舞台は1945年――、現代最高峰の雀士・バード、戦後闇市へタイムスリップ！！ラスベガスの天才魔術師・バードVS裏麻雀界に君臨する無敗のイカサマ師・蛇の死闘“全自動…
賭博黙示録カイジ,東京に上京するも、定職に就かず自堕落な生活を続けていた伊藤開司(カイジ)は、ある日かつてのバイト仲間である古畑の借金の保証人になったことから、借金を肩代わりする羽目になってしまう。その借金の返済のため、ギャンブル船…
シノハユ,白築慕は小さな胸に大きな夢を抱いた。大好きな母に自分を見つけてもらうため、大好きな麻雀で注目される選手になると…。これは麻雀で全国の頂点を目指した少女たちの軌跡──。
麻雀放浪記,雀聖と謳われた阿佐田哲也の傑作小説「麻雀放浪記」を、当代随一の麻雀劇画家の嶺岸信明が劇画化。退役軍人の息子として生まれ、苦労せず育った哲也は、勤労動員で博打の味を憶える。終戦後、父の恩給が途絶え、一家の大黒柱として…
天牌外伝,『天牌』から生まれたもう一つの伝説！麻雀職人・黒沢義明が卓上に咲かす、136牌の軌跡！『天牌』本編に於いて主人公・沖本瞬を喰うほどの人気を誇る、瞬の師匠・黒沢を主人公に、瞬と出会う以前の黒沢の物語…ネオン街でのさま…
むこうぶち　高レート裏麻雀列伝,人の鬼と書いて「傀」と人々は呼ぶ。場の流れを読み高レート麻雀で勝ち続ける謎の男、傀。この孤高のハンターに狙われたら、生半可な人間は次々と闇へと消えていくしかない。冷徹で何を考えているかわからないよう描かれている傀で…
たとえ灰になっても,難病の妹を救う為、10億の資金集めに奔走する高校生・四宮良真は、不慮の交通事故で死んでしまう――。しかし目覚めた先は、天使クロエルが支配する地獄の狭間だった。そこは本名がバレると、灰になってしまう世界……。強制参加…
鉄鳴きの麒麟児　歌舞伎町制圧編,時速３万円!!フリー雀荘には必勝法がある――。リアル麻雀ギャンブル漫画最前線!!認めさせろ、誰が一番強いかを!!欲するのは、日本全国から猛者が集まる歌舞伎町での最強の称号!!強さのみを武器にこの密林を制せ!!特別収…
凍牌（とうはい）―裏レート麻雀闘牌録―,"金、女、臓器…欲望蠢く裏レート雀荘を荒らし回る男がいるという。その男、いまだ少年にして、冷徹なる思考、冷艶なる打牌、裏世界からは“氷のK”と呼ばれているが、自宅には少女を飼っていると噂される…。
         …"
バード 雀界天使VS天才魔術師,新たな闘いの幕開けッ！！全戦無敗の不敗神話！超能力者かペテン師か！？麻雀界に現れた奇跡の天使！！そのトリックにバードが挑む――！！
牌王血戦 ライオン,あの誇り高き孤高の猛獣が帰ってくる！！若かりし日に敗れた因縁の男との再会を望み、麻雀を打ち続ける伝説の雀士・堂嶋。彼は常軌を逸した人間島麻雀大会を優勝し島を壊滅させるも忽然と姿を消してしまった。だが人間島の脅威は終…
カジノグイ,血沸き巨額舞う魔窟“闇カジノ”!!「ここにある金、根こそぎ奪ってやる」真っ当に生きようとする施設育ちの青年・鈴木ゲン。そんな彼に無情なる現実が襲い掛かる―――施設時代からの妹分・まゆが一千万円の借金を背負う事となっ…
凍牌（とうはい）～人柱篇～,"謎の“名簿”を賭け、羽鳥と対局することになったK。しかし、羽鳥5万点、K3万点の持ち点で、点棒の代わりに1人6千点×5人の命という絶対的に不利なルールであった!!大人気麻雀バトル・コミック新シリーズ!!
     …"
賭博覇王伝零,振り込め詐欺によって奪われた金を奪い返し義賊として世間を騒がせた少年グループのリーダ宇海零は日本一の資産家、在全無量から「王への試験」に招待される。その試験とは在全が参加する世界の富豪達が富を統一させるギャンブルの…
ギャンブルッ！,▼第1話／マサル▼第2話／チンチロリン▼第3話／上限▼第4話／偏り▼第5話／バカラ▼第6話／ミニバカラ▼おまけ●主な登場人物／京本マサル（小学6年生。プロの賭け師を目指す少年）、ジャン（小学6年生。数学に関しては天…
すべて灰になっても,名を偽り、性を偽り、嘘と本能に従い、命と金を賭けた人生逆転のデスゲェム。本戦に勝ち進んだ参加者の、知られざる死闘を描く本格スピンオフが、今開幕!!　Aグループでは沙羅、ルセット、カエデを含む５名が、天使クロエルの元…
